state,x,y
Andhra Pradesh,-68,-151
Arunachal Pradesh,227,164
Assam,185,111
Bihar,64,91
Chhattisgarh,-7,-10
Goa,-158,-140
Gujarat,-205,20
Haryana,-105,162
Himachal Pradesh,-84,220
Jharkhand,52,40
Karnataka,-133,-167
Kerala,-108,-268
Madhya Pradesh,-90,26
Maharashtra,-144,-58
Manipur,221,78
Meghalaya,161,89
Mizoram,201,50
Nagaland,228,112
Odisha,35,-28
Punjab,-120,206
Rajasthan,-175,112
Sikkim,115,134
Tamil Nadu,-67,-242
Telangana,-61,-92
Tripura,179,49
Uttar Pradesh,-38,117
Uttarakhand,-56,187
West Bengal,102,30
